ID,Title,URL,Source,Category,Scraped At,Published At
1,The Steinwinter Supercargo,https://www.thedrive.com/article/12603/the-forgotten-steinwinter-supercargo-is-unlike-anything-on-the-road-today,Hacker News,Tech News,2026-05-27T18:08:08.331464,2026-05-27T18:08:07.756113
2,Go: Support for Generic Methods,https://github.com/golang/go/issues/77273,Hacker News,Tech News,2026-05-27T18:08:08.307579,2026-05-27T18:08:07.755916
3,Tunecat: Simple Internet Radio,https://codeberg.org/lindenii/tunecat/,Hacker News,Tech News,2026-05-27T18:08:08.287815,2026-05-27T18:08:07.755695
4,What I've Learned (So Far) Building Online Mini Games with Elixir and Swift,https://calvinflegal.com/2026/05/24/what-ive-learned-so-far-building-online-mini-games-with-elixir-and-swift.html,Hacker News,Tech News,2026-05-27T18:08:08.268819,2026-05-27T18:08:07.755526
5,Sage Care (YC S24) Is Hiring Software Engineers,https://www.ycombinator.com/companies/sagecare/jobs/xtloH8r-senior-software-engineer,Hacker News,Tech News,2026-05-27T18:08:08.249984,2026-05-27T18:08:07.755358
6,A portentous reunion,https://bcantrill.dtrace.org/2026/05/25/a-portentous-reunion/,Hacker News,Tech News,2026-05-27T18:08:08.230114,2026-05-27T18:08:07.755209
7,IBM Confidential: System/360 File Organization [video],https://www.youtube.com/watch?v=zokKqP0plrM,Hacker News,Tech News,2026-05-27T18:08:08.210408,2026-05-27T18:08:07.755042
8,TSDuck: Open-source toolkit for MPEG-TS analysis and manipulation,https://tsduck.io/,Hacker News,Tech News,2026-05-27T18:08:08.186547,2026-05-27T18:08:07.754876
9,C array types are weird,https://anselmschueler.com/blogposts/2025-c-pointers/,Hacker News,Tech News,2026-05-27T18:08:08.167435,2026-05-27T18:08:07.754712
10,A history of obituaries in American newspapers,https://blogs.loc.gov/headlinesandheroes/2026/05/mourn-not-a-history-of-obituaries-in-american-newspapers/,Hacker News,Tech News,2026-05-27T18:08:08.148028,2026-05-27T18:08:07.754545
11,"Spain blocks prediction markets Polymarket, Kalshi over lack of gambling licence",https://www.reuters.com/business/spain-blocks-prediction-markets-polymarket-kalshi-over-lack-gambling-licences-2026-05-26/,Hacker News,Tech News,2026-05-27T18:08:08.128762,2026-05-27T18:08:07.754377
12,Launch HN: Minicor (YC P26) – Windows desktop automations at scale,https://www.minicor.com/,Hacker News,Launch HN,2026-05-27T18:08:08.109493,2026-05-27T18:08:07.754207
13,Rosalind: A genomics toolkit in Rust running whole-genome pipelines on a laptop,https://github.com/logannye/rosalind,Hacker News,Tech News,2026-05-27T18:08:08.088751,2026-05-27T18:08:07.754027
14,Seeking a Language in Mathematics 1523-1571,https://tyndale.org/journals/reformj01/bmarsden.html,Hacker News,Tech News,2026-05-27T18:08:08.068002,2026-05-27T18:08:07.753851
15,"Show HN: Posthorn, self-hosted mail without the mail server",https://github.com/craigmccaskill/posthorn,Hacker News,Show HN,2026-05-27T18:08:08.048545,2026-05-27T18:08:07.753639
16,I built a Git-tracked book production pipeline,https://www.djspeckhals.com/posts/2026-05-22-how-i-bypassed-adobe-and-microsoft-to-build-a-git-tracked-book-production-pipeline/,Hacker News,Tech News,2026-05-27T18:08:08.029098,2026-05-27T18:08:07.753460
17,A few interesting modern pixel fonts,https://unsung.aresluna.org/a-few-interesting-modern-pixel-fonts/,Hacker News,Tech News,2026-05-27T18:08:08.012532,2026-05-27T18:08:07.753251
18,"We are Poles, so, of course, we print in Latin",https://www.ustc.ac.uk/news/we-are-poles-so-of-course-we-print-in-latin,Hacker News,Tech News,2026-05-27T18:08:07.994929,2026-05-27T18:08:07.753065
19,The worst job interview I ever had,https://www.oliverio.dev/blog/the-worst-job-interview-i-had,Hacker News,Tech News,2026-05-27T18:08:07.973928,2026-05-27T18:08:07.752862
20,What Is a Direct Attach Copper (DAC) Cable,https://www.servethehome.com/what-is-a-direct-attach-copper-dac-cable/,Hacker News,Tech News,2026-05-27T18:08:07.955881,2026-05-27T18:08:07.752691
21,"Claude Code as a Daily Driver: Claude.md, Skills, Subagents, Plugins, and MCPs",https://arps18.github.io/posts/claude-code-mastery/,Hacker News,Tech News,2026-05-27T18:08:07.936103,2026-05-27T18:08:07.752517
22,That Methyl Methacrylate Tank,https://www.science.org/content/blog-post/methyl-methacrylate-tank,Hacker News,Tech News,2026-05-27T18:08:07.918243,2026-05-27T18:08:07.752345
23,BadHost – CVE-2026-48710: Starlette Host-Header Auth Bypass,https://badhost.org/,Hacker News,Tech News,2026-05-27T18:08:07.899909,2026-05-27T18:08:07.752097
24,Cloudflare Flagship,https://developers.cloudflare.com/flagship/,Hacker News,Tech News,2026-05-27T18:08:07.881468,2026-05-27T18:08:07.751399
25,All of human cooking compressed into 2 megabytes,https://arxiv.org/abs/2605.22391,Hacker News,Tech News,2026-05-27T18:08:07.863185,2026-05-27T18:08:07.751197
26,Raft Consensus with a Minority of Nodes,https://padhye.org/raft-minority/,Hacker News,Tech News,2026-05-27T18:08:07.838201,2026-05-27T18:08:07.751008
27,The Melancholy of Slaying Monsters,https://thereader.mitpress.mit.edu/the-strange-melancholy-of-slaying-monsters/,Hacker News,Tech News,2026-05-27T18:08:07.818866,2026-05-27T18:08:07.750833
28,Mini Micro Fantasy Computer,https://miniscript.org/MiniMicro/index.html#about,Hacker News,Tech News,2026-05-27T18:08:07.800650,2026-05-27T18:08:07.750642
29,"Incident with Pull Requests, Issues, Git Operations and API Requests",https://www.githubstatus.com/incidents/xy1tt3hs572m,Hacker News,Tech News,2026-05-27T18:08:07.780688,2026-05-27T18:08:07.750450
30,I'm Tired of Talking to AI,https://orchidfiles.com/im-tired-of-ai-generated-answers/,Hacker News,Tech News,2026-05-27T18:08:07.756677,2026-05-27T18:08:07.750203
